Time (microseconds),scope4
533416.67,-325.305389404297
533500.00,-327.882843017578
533583.33,-325.949768066406
533666.67,-329.81591796875
533750.00,-326.594116210938
533833.33,-328.527221679688
533916.67,-328.527221679688
534000.00,-327.238494873047
534083.33,-328.527221679688
534166.67,-329.171569824219
534250.00,-327.238494873047
534333.33,-327.238494873047
534416.67,-338.192626953125
534500.00,-329.171569824219
534583.33,-327.882843017578
534666.67,-329.81591796875
534750.00,-328.527221679688
534833.33,-330.460296630859
534916.67,-329.171569824219
535000.00,-329.81591796875
535083.33,-331.104644775391
535166.67,-329.171569824219
535250.00,-328.527221679688
535333.33,-329.171569824219
535416.67,-329.171569824219
535500.00,-332.393371582031
535583.33,-329.81591796875
535666.67,-331.104644775391
535750.00,-332.393371582031
535833.33,-329.171569824219
535916.67,-331.7490234375
536000.00,-331.104644775391
536083.33,-331.7490234375
536166.67,-330.460296630859
536250.00,-338.192626953125
536333.33,-334.326446533203
536416.67,-329.81591796875
536500.00,-331.7490234375
536583.33,-331.7490234375
536666.67,-332.393371582031
536750.00,-333.037719726563
536833.33,-333.682098388672
536916.67,-332.393371582031
537000.00,-333.682098388672
537083.33,-331.104644775391
537166.67,-333.037719726563
537250.00,-332.393371582031
537333.33,-334.970825195313
537416.67,-334.970825195313
537500.00,-335.615173339844
537583.33,-334.326446533203
537666.67,-333.682098388672
537750.00,-332.393371582031
537833.33,-333.682098388672
537916.67,-334.326446533203
538000.00,-331.7490234375
538083.33,-338.192626953125
538166.67,-335.615173339844
538250.00,-334.970825195313
538333.33,-334.970825195313
538416.67,-333.682098388672
538500.00,-333.682098388672
538583.33,-336.903900146484
538666.67,-334.970825195313
538750.00,-338.192626953125
538833.33,-333.682098388672
538916.67,-335.615173339844
539000.00,-333.037719726563
539083.33,-334.326446533203
539166.67,-336.259521484375
539250.00,-336.259521484375
539333.33,-336.903900146484
539416.67,-336.259521484375
539500.00,-336.903900146484
539583.33,-334.970825195313
539666.67,-334.970825195313
539750.00,-336.903900146484
539833.33,-333.037719726563
539916.67,-338.192626953125
540000.00,-335.615173339844
540083.33,-336.903900146484
540166.67,-338.836975097656
540250.00,-335.615173339844
540333.33,-338.836975097656
540416.67,-336.259521484375
540500.00,-338.192626953125
540583.33,-336.259521484375
540666.67,-336.903900146484
540750.00,-337.548248291016
540833.33,-335.615173339844
540916.67,-336.259521484375
541000.00,-338.836975097656
541083.33,-339.481323242188
541166.67,-340.770050048828
541250.00,-337.548248291016
541333.33,-338.836975097656
541416.67,-339.481323242188
541500.00,-336.259521484375
541583.33,-336.903900146484
541666.67,-335.615173339844
541750.00,-338.192626953125
541833.33,-336.259521484375
541916.67,-338.192626953125
542000.00,-338.192626953125
542083.33,-336.903900146484
542166.67,-336.259521484375
542250.00,-340.125701904297
542333.33,-338.836975097656
542416.67,-340.770050048828
542500.00,-340.125701904297
542583.33,-337.548248291016
542666.67,-340.125701904297
542750.00,-338.192626953125
542833.33,-336.259521484375
542916.67,-342.703125
543000.00,-340.770050048828
543083.33,-338.836975097656
543166.67,-339.481323242188
543250.00,-339.481323242188
543333.33,-340.125701904297
543416.67,-340.125701904297
543500.00,-336.259521484375
543583.33,-341.414428710938
543666.67,-343.347503662109
543750.00,-339.481323242188
543833.33,-338.836975097656
543916.67,-339.481323242188
544000.00,-340.125701904297
544083.33,-340.770050048828
544166.67,-338.836975097656
544250.00,-340.770050048828
544333.33,-341.414428710938
544416.67,-340.125701904297
544500.00,-340.125701904297
544583.33,-340.125701904297
544666.67,-338.836975097656
544750.00,-342.058776855469
