Time (seconds),V_ch1,V_ch2,V_ch3,I_ch1,I_ch2,I_ch3
0.473750,-100.42357635498,0,0,0,0,0
0.473958,-104.934097290039,0,0,0,0,0
0.474167,-112.022064208984,0,0,0,0,0
0.474375,-110.733345031738,0,0,0,0,0
0.474583,-113.31078338623,0,0,0,0,0
0.474792,-119.75439453125,0,0,0,0,0
0.475000,-122.976196289063,0,0,0,0,0
0.475208,-128.131072998047,0,0,0,0,0
0.475417,-130.708526611328,0,0,0,0,0
0.475625,-135.863403320313,0,0,0,0,0
0.475833,-138.440841674805,0,0,0,0,0
0.476042,-141.662643432617,0,0,0,0,0
0.476250,-145.52880859375,0,0,0,0,0
0.476458,-151.972412109375,0,0,0,0,0
0.476667,-153.905502319336,0,0,0,0,0
0.476875,-155.838577270508,0,0,0,0,0
0.477083,-164.859634399414,0,0,0,0,0
0.477292,-166.148345947266,0,0,0,0,0
0.477500,-170.658874511719,0,0,0,0,0
0.477708,-172.591949462891,0,0,0,0,0
0.477917,-179.679916381836,0,0,0,0,0
0.478125,-180.968643188477,0,0,0,0,0
0.478333,-182.901718139648,0,0,0,0,0
0.478542,-189.345336914063,0,0,0,0,0
0.478750,-189.345336914063,0,0,0,0,0
0.478958,-195.144577026367,0,0,0,0,0
0.479167,-199.65510559082,0,0,0,0,0
0.479375,-202.232543945313,0,0,0,0,0
0.479583,-208.676147460938,0,0,0,0,0
0.479792,-211.25358581543,0,0,0,0,0
0.480000,-215.764114379883,0,0,0,0,0
0.480208,-217.697189331055,0,0,0,0,0
0.480417,-223.496444702148,0,0,0,0,0
0.480625,-229.940048217773,0,0,0,0,0
0.480833,-229.940048217773,0,0,0,0,0
0.481042,-235.094924926758,0,0,0,0,0
0.481250,-237.028015136719,0,0,0,0,0
0.481458,-242.827255249023,0,0,0,0,0
0.481667,-246.049057006836,0,0,0,0,0
0.481875,-249.915222167969,0,0,0,0,0
0.482083,-251.848297119141,0,0,0,0,0
0.482292,-257.647552490234,0,0,0,0,0
0.482500,-259.580627441406,0,0,0,0,0
